Year,Province name,District number,Election ,Registered voters in district,Valid votes in district,Invalid votes in district,Party name,Party number,Party number of votes,Number of DPR seats,
2024,Bengkulu,1,DPR,"1,494,828","1,151,620","142,330",,,,,
2024,Bengkulu,1,DPR,,,,Partai Kebangkitan Bangsa,1,"30,979",,
2024,Bengkulu,1,DPR,,,,Partai Gerakan Indonesia Raya,2,"88,087",,
2024,Bengkulu,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"180,917",1,
2024,Bengkulu,1,DPR,,,,Partai Golongan Karya,4,"324,563",1,
2024,Bengkulu,1,DPR,,,,Partai Nasdem,5,"141,236",1,
2024,Bengkulu,1,DPR,,,,Partai Buruh,6,"6,399",,
2024,Bengkulu,1,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"10,400",,
2024,Bengkulu,1,DPR,,,,Partai Keadilan Sejahtera,8,"70,344",,
2024,Bengkulu,1,DPR,,,,Partai Kebangkitan Nusantara,9,"3,043",,
2024,Bengkulu,1,DPR,,,,Partai Hati Nurani Rakyat,10,"11,688",,
2024,Bengkulu,1,DPR,,,,Partai Garda Republik Indonesia ,11,"4,300",,
2024,Bengkulu,1,DPR,,,,Partai Amanat Nasional,12,"188,346",1,
2024,Bengkulu,1,DPR,,,,Partai Bulan Bintang,13,"3,663",,
2024,Bengkulu,1,DPR,,,,Partai Demokrat ,14,"27,368",,
2024,Bengkulu,1,DPR,,,,Partai Solidaritas Indonesia ,15,"17,214",,
2024,Bengkulu,1,DPR,,,,Partai Perindo,16,"29,775",,
2024,Bengkulu,1,DPR,,,,Partai Persatuan Pembangunan,17,"9,460",,
2024,Bengkulu,1,DPR,,,,Partai Ummat,24,"3,838",,
2024,D.I.Yogyakarta,1,DPR,"2,870,974","2,294,779","228,807",,,,,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Kebangkitan Bangsa,1,"245,627",1,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Gerakan Indonesia Raya,2,"272,165",1,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"593,969",2,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Golongan Karya,4,"302,845",1,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Nasdem,5,"130,830",1,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Buruh,6,"15,343",,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"12,732",,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Keadilan Sejahtera,8,"272,061",1,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Kebangkitan Nusantara,9,"3,638",,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Hati Nurani Rakyat,10,"4,047",,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Garda Republik Indonesia ,11,"4,792",,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Amanat Nasional,12,"198,662",1,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Bulan Bintang,13,"3,250",,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Demokrat ,14,"49,203",,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Solidaritas Indonesia ,15,"71,998",,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Perindo,16,"10,234",,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Persatuan Pembangunan,17,"47,873",,
2024,D.I.Yogyakarta,1,DPR,,,,Partai Ummat,24,"55,510",,
2024,DKI Jakarta,1,DPR,"2,383,972","1,782,927","131,426",,,,,
2024,DKI Jakarta,1,DPR,,,,Partai Kebangkitan Bangsa,1,"145,309",1,
2024,DKI Jakarta,1,DPR,,,,Partai Gerakan Indonesia Raya,2,"196,708",1,
2024,DKI Jakarta,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"288,461",1,
2024,DKI Jakarta,1,DPR,,,,Partai Golongan Karya,4,"111,719",,
2024,DKI Jakarta,1,DPR,,,,Partai Nasdem,5,"108,773",,
2024,DKI Jakarta,1,DPR,,,,Partai Buruh,6,"25,104",,
2024,DKI Jakarta,1,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"10,517",,
2024,DKI Jakarta,1,DPR,,,,Partai Keadilan Sejahtera,8,"390,441",2,
2024,DKI Jakarta,1,DPR,,,,Partai Kebangkitan Nusantara,9,"2,879",,
2024,DKI Jakarta,1,DPR,,,,Partai Hati Nurani Rakyat,10,"7,639",,
2024,DKI Jakarta,1,DPR,,,,Partai Garda Republik Indonesia ,11,"3,010",,
2024,DKI Jakarta,1,DPR,,,,Partai Amanat Nasional,12,"149,427",1,
2024,DKI Jakarta,1,DPR,,,,Partai Bulan Bintang,13,"3,676",,
2024,DKI Jakarta,1,DPR,,,,Partai Demokrat ,14,"99,383",,
2024,DKI Jakarta,1,DPR,,,,Partai Solidaritas Indonesia ,15,"122,443",,
2024,DKI Jakarta,1,DPR,,,,Partai Perindo,16,"24,420",,
2024,DKI Jakarta,1,DPR,,,,Partai Persatuan Pembangunan,17,"79,673",,
2024,DKI Jakarta,1,DPR,,,,Partai Ummat,24,"13,345",,
2024,DKI Jakarta,2,DPR,"2,596,401","1,914,516","142,971",,,,,
2024,DKI Jakarta,2,DPR,,,,Partai Kebangkitan Bangsa,1,"154,618",1,
2024,DKI Jakarta,2,DPR,,,,Partai Gerakan Indonesia Raya,2,"187,429",1,
2024,DKI Jakarta,2,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"266,353",1,
2024,DKI Jakarta,2,DPR,,,,Partai Golongan Karya,4,"191,735",1,
2024,DKI Jakarta,2,DPR,,,,Partai Nasdem,5,"107,620",,
2024,DKI Jakarta,2,DPR,,,,Partai Buruh,6,"21,295",,
2024,DKI Jakarta,2,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"12,912",,
2024,DKI Jakarta,2,DPR,,,,Partai Keadilan Sejahtera,8,"431,271",2,
2024,DKI Jakarta,2,DPR,,,,Partai Kebangkitan Nusantara,9,"3,450",,
2024,DKI Jakarta,2,DPR,,,,Partai Hati Nurani Rakyat,10,"6,863",,
2024,DKI Jakarta,2,DPR,,,,Partai Garda Republik Indonesia ,11,"3,709",,
2024,DKI Jakarta,2,DPR,,,,Partai Amanat Nasional,12,"145,316",1,
2024,DKI Jakarta,2,DPR,,,,Partai Bulan Bintang,13,"4,834",,
2024,DKI Jakarta,2,DPR,,,,Partai Demokrat ,14,"119,110",,
2024,DKI Jakarta,2,DPR,,,,Partai Solidaritas Indonesia ,15,"129,124",,
2024,DKI Jakarta,2,DPR,,,,Partai Perindo,16,"49,756",,
2024,DKI Jakarta,2,DPR,,,,Partai Persatuan Pembangunan,17,"61,122",,
2024,DKI Jakarta,2,DPR,,,,Partai Ummat,24,"17,999",,
2024,DKI Jakarta,3,DPR,"3,272,524","2,319,434","164,748",,,,,
2024,DKI Jakarta,3,DPR,,,,Partai Kebangkitan Bangsa,1,"92,868",,
2024,DKI Jakarta,3,DPR,,,,Partai Gerakan Indonesia Raya,2,"227,034",1,
2024,DKI Jakarta,3,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"386,980",2,
2024,DKI Jakarta,3,DPR,,,,Partai Golongan Karya,4,"313,619",1,
2024,DKI Jakarta,3,DPR,,,,Partai Nasdem,5,"239,287",1,
2024,DKI Jakarta,3,DPR,,,,Partai Buruh,6,"19,133",,
2024,DKI Jakarta,3,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"18,175",,
2024,DKI Jakarta,3,DPR,,,,Partai Keadilan Sejahtera,8,"322,200",1,
2024,DKI Jakarta,3,DPR,,,,Partai Kebangkitan Nusantara,9,"4,436",,
2024,DKI Jakarta,3,DPR,,,,Partai Hati Nurani Rakyat,10,"6,043",,
2024,DKI Jakarta,3,DPR,,,,Partai Garda Republik Indonesia ,11,"3,854",,
2024,DKI Jakarta,3,DPR,,,,Partai Amanat Nasional,12,"139,357",1,
2024,DKI Jakarta,3,DPR,,,,Partai Bulan Bintang,13,"4,187",,
2024,DKI Jakarta,3,DPR,,,,Partai Demokrat ,14,"133,307",1,
2024,DKI Jakarta,3,DPR,,,,Partai Solidaritas Indonesia ,15,"305,291",,
2024,DKI Jakarta,3,DPR,,,,Partai Perindo,16,"59,701",,
2024,DKI Jakarta,3,DPR,,,,Partai Persatuan Pembangunan,17,"32,509",,
2024,DKI Jakarta,3,DPR,,,,Partai Ummat,24,"11,453",,
2024,Gorontalo,1,DPR,"881,206","741,783","40,091",,,,,
2024,Gorontalo,1,DPR,,,,Partai Kebangkitan Bangsa,1,"14,897",,
2024,Gorontalo,1,DPR,,,,Partai Gerakan Indonesia Raya,2,"145,152",1,
2024,Gorontalo,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"46,225",,
2024,Gorontalo,1,DPR,,,,Partai Golongan Karya,4,"163,074",1,
2024,Gorontalo,1,DPR,,,,Partai Nasdem,5,"227,533",1,
2024,Gorontalo,1,DPR,,,,Partai Buruh,6,"2,447",,
2024,Gorontalo,1,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"5,348",,
2024,Gorontalo,1,DPR,,,,Partai Keadilan Sejahtera,8,"17,590",,
2024,Gorontalo,1,DPR,,,,Partai Kebangkitan Nusantara,9,970,,
2024,Gorontalo,1,DPR,,,,Partai Hati Nurani Rakyat,10,"5,984",,
2024,Gorontalo,1,DPR,,,,Partai Garda Republik Indonesia ,11,"1,663",,
2024,Gorontalo,1,DPR,,,,Partai Amanat Nasional,12,"15,149",,
2024,Gorontalo,1,DPR,,,,Partai Bulan Bintang,13,"1,552",,
2024,Gorontalo,1,DPR,,,,Partai Demokrat ,14,"14,090",,
2024,Gorontalo,1,DPR,,,,Partai Solidaritas Indonesia ,15,"2,469",,
2024,Gorontalo,1,DPR,,,,Partai Perindo,16,"5,843",,
2024,Gorontalo,1,DPR,,,,Partai Persatuan Pembangunan,17,"70,720",,
2024,Gorontalo,1,DPR,,,,Partai Ummat,24,"1,077",,
2024,Jambi,1,DPR,"2,676,107","1,951,724","304,052",,,,,
2024,Jambi,1,DPR,,,,Partai Kebangkitan Bangsa,1,"212,847",1,
2024,Jambi,1,DPR,,,,Partai Gerakan Indonesia Raya,2,"241,351",1,
2024,Jambi,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"318,124",1,
2024,Jambi,1,DPR,,,,Partai Golongan Karya,4,"341,039",2,
2024,Jambi,1,DPR,,,,Partai Nasdem,5,"176,441",1,
2024,Jambi,1,DPR,,,,Partai Buruh,6,"12,233",,
2024,Jambi,1,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"15,627",,
2024,Jambi,1,DPR,,,,Partai Keadilan Sejahtera,8,"107,298",,
2024,Jambi,1,DPR,,,,Partai Kebangkitan Nusantara,9,"5,656",,
2024,Jambi,1,DPR,,,,Partai Hati Nurani Rakyat,10,"12,783",,
2024,Jambi,1,DPR,,,,Partai Garda Republik Indonesia ,11,"6,729",,
2024,Jambi,1,DPR,,,,Partai Amanat Nasional,12,"166,290",1,
2024,Jambi,1,DPR,,,,Partai Bulan Bintang,13,"5,457",,
2024,Jambi,1,DPR,,,,Partai Demokrat ,14,"197,962",1,
2024,Jambi,1,DPR,,,,Partai Solidaritas Indonesia ,15,"34,649",,
2024,Jambi,1,DPR,,,,Partai Perindo,16,"28,989",,
2024,Jambi,1,DPR,,,,Partai Persatuan Pembangunan,17,"58,114",,
2024,Jambi,1,DPR,,,,Partai Ummat,24,"10,135",,
2024,Jawa Barat,1,DPR,"2,289,115","1,786,500","125,954",,,,,
2024,Jawa Barat,1,DPR,,,,Partai Kebangkitan Bangsa,1,"138,013",1,
2024,Jawa Barat,1,DPR,,,,Partai Gerakan Indonesia Raya,2,"215,807",1,
2024,Jawa Barat,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"161,710",1,
2024,Jawa Barat,1,DPR,,,,Partai Golongan Karya,4,"366,052",2,
2024,Jawa Barat,1,DPR,,,,Partai Nasdem,5,"121,629",,
2024,Jawa Barat,1,DPR,,,,Partai Buruh,6,"15,195",,
2024,Jawa Barat,1,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"20,644",,
2024,Jawa Barat,1,DPR,,,,Partai Keadilan Sejahtera,8,"360,248",1,
2024,Jawa Barat,1,DPR,,,,Partai Kebangkitan Nusantara,9,"1,699",,
2024,Jawa Barat,1,DPR,,,,Partai Hati Nurani Rakyat,10,"12,797",,
2024,Jawa Barat,1,DPR,,,,Partai Garda Republik Indonesia ,11,"3,297",,
2024,Jawa Barat,1,DPR,,,,Partai Amanat Nasional,12,"90,955",,
2024,Jawa Barat,1,DPR,,,,Partai Bulan Bintang,13,"4,738",,
2024,Jawa Barat,1,DPR,,,,Partai Demokrat ,14,"131,385",1,
2024,Jawa Barat,1,DPR,,,,Partai Solidaritas Indonesia ,15,"87,738",,
2024,Jawa Barat,1,DPR,,,,Partai Perindo,16,"26,512",,
2024,Jawa Barat,1,DPR,,,,Partai Persatuan Pembangunan,17,"19,302",,
2024,Jawa Barat,1,DPR,,,,Partai Ummat,24,"8,779",,
2024,Jawa Barat,2,DPR,"3,973,080","3,104,039","279,813",,,,,
2024,Jawa Barat,2,DPR,,,,Partai Kebangkitan Bangsa,1,"517,125",2,
2024,Jawa Barat,2,DPR,,,,Partai Gerakan Indonesia Raya,2,"396,368",1,
2024,Jawa Barat,2,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"267,638",1,
2024,Jawa Barat,2,DPR,,,,Partai Golongan Karya,4,"497,508",2,
2024,Jawa Barat,2,DPR,,,,Partai Nasdem,5,"226,716",1,
2024,Jawa Barat,2,DPR,,,,Partai Buruh,6,"22,854",,
2024,Jawa Barat,2,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"20,637",,
2024,Jawa Barat,2,DPR,,,,Partai Keadilan Sejahtera,8,"397,432",1,
2024,Jawa Barat,2,DPR,,,,Partai Kebangkitan Nusantara,9,"4,385",,
2024,Jawa Barat,2,DPR,,,,Partai Hati Nurani Rakyat,10,"12,088",,
2024,Jawa Barat,2,DPR,,,,Partai Garda Republik Indonesia ,11,"7,090",,
2024,Jawa Barat,2,DPR,,,,Partai Amanat Nasional,12,"242,783",1,
2024,Jawa Barat,2,DPR,,,,Partai Bulan Bintang,13,"8,413",,
2024,Jawa Barat,2,DPR,,,,Partai Demokrat ,14,"306,652",1,
2024,Jawa Barat,2,DPR,,,,Partai Solidaritas Indonesia ,15,"77,638",,
2024,Jawa Barat,2,DPR,,,,Partai Perindo,16,"21,153",,
2024,Jawa Barat,2,DPR,,,,Partai Persatuan Pembangunan,17,"68,231",,
2024,Jawa Barat,2,DPR,,,,Partai Ummat,24,"9,328",,
2024,Jawa Barat,3,DPR,"2,632,764","1,858,722","215,783",,,,,
2024,Jawa Barat,3,DPR,,,,Partai Kebangkitan Bangsa,1,"155,509",1,
2024,Jawa Barat,3,DPR,,,,Partai Gerakan Indonesia Raya,2,"293,202",2,
2024,Jawa Barat,3,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"288,322",1,
2024,Jawa Barat,3,DPR,,,,Partai Golongan Karya,4,"309,401",2,
2024,Jawa Barat,3,DPR,,,,Partai Nasdem,5,"130,915",1,
2024,Jawa Barat,3,DPR,,,,Partai Buruh,6,"12,710",,
2024,Jawa Barat,3,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"13,309",,
2024,Jawa Barat,3,DPR,,,,Partai Keadilan Sejahtera,8,"269,252",1,
2024,Jawa Barat,3,DPR,,,,Partai Kebangkitan Nusantara,9,"3,606",,
2024,Jawa Barat,3,DPR,,,,Partai Hati Nurani Rakyat,10,"5,191",,
2024,Jawa Barat,3,DPR,,,,Partai Garda Republik Indonesia ,11,"3,578",,
2024,Jawa Barat,3,DPR,,,,Partai Amanat Nasional,12,"142,183",1,
2024,Jawa Barat,3,DPR,,,,Partai Bulan Bintang,13,"5,535",,
2024,Jawa Barat,3,DPR,,,,Partai Demokrat ,14,"86,214",,
2024,Jawa Barat,3,DPR,,,,Partai Solidaritas Indonesia ,15,"47,147",,
2024,Jawa Barat,3,DPR,,,,Partai Perindo,16,"12,583",,
2024,Jawa Barat,3,DPR,,,,Partai Persatuan Pembangunan,17,"72,166",,
2024,Jawa Barat,3,DPR,,,,Partai Ummat,24,"7,899",,
2024,Jawa Barat,4,DPR,"2,255,850","1,552,567","206,007",,,,,
2024,Jawa Barat,4,DPR,,,,Partai Kebangkitan Bangsa,1,"191,879",1,
2024,Jawa Barat,4,DPR,,,,Partai Gerakan Indonesia Raya,2,"282,802",1,
2024,Jawa Barat,4,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"108,355",,
2024,Jawa Barat,4,DPR,,,,Partai Golongan Karya,4,"236,949",1,
2024,Jawa Barat,4,DPR,,,,Partai Nasdem,5,"105,585",,
2024,Jawa Barat,4,DPR,,,,Partai Buruh,6,"7,035",,
2024,Jawa Barat,4,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"13,919",,
2024,Jawa Barat,4,DPR,,,,Partai Keadilan Sejahtera,8,"217,295",1,
2024,Jawa Barat,4,DPR,,,,Partai Kebangkitan Nusantara,9,"1,887",,
2024,Jawa Barat,4,DPR,,,,Partai Hati Nurani Rakyat,10,"4,172",,
2024,Jawa Barat,4,DPR,,,,Partai Garda Republik Indonesia ,11,"3,770",,
2024,Jawa Barat,4,DPR,,,,Partai Amanat Nasional,12,"112,429",1,
2024,Jawa Barat,4,DPR,,,,Partai Bulan Bintang,13,"5,517",,
2024,Jawa Barat,4,DPR,,,,Partai Demokrat ,14,"139,425",1,
2024,Jawa Barat,4,DPR,,,,Partai Solidaritas Indonesia ,15,"13,324",,
2024,Jawa Barat,4,DPR,,,,Partai Perindo,16,"10,174",,
2024,Jawa Barat,4,DPR,,,,Partai Persatuan Pembangunan,17,"93,529",,
2024,Jawa Barat,4,DPR,,,,Partai Ummat,24,"4,521",,
2024,Jawa Barat,5,DPR,"3,889,441","2,870,890","404,747",,,,,
2024,Jawa Barat,5,DPR,,,,Partai Kebangkitan Bangsa,1,"253,632",1,
2024,Jawa Barat,5,DPR,,,,Partai Gerakan Indonesia Raya,2,"540,003",2,
2024,Jawa Barat,5,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"245,677",1,
2024,Jawa Barat,5,DPR,,,,Partai Golongan Karya,4,"438,708",1,
2024,Jawa Barat,5,DPR,,,,Partai Nasdem,5,"199,776",1,
2024,Jawa Barat,5,DPR,,,,Partai Buruh,6,"26,499",,
2024,Jawa Barat,5,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"32,046",,
2024,Jawa Barat,5,DPR,,,,Partai Keadilan Sejahtera,8,"363,979",1,
