PDS,VN,ID,YR,MN,PROV,DIST_N,DIST_C,PTY_N,PTY_C,CAN_N,CAN_G,RV,VV,IVV,CV,TPV,SEATS
1,1,DPR,2024,February,ACEH ,ACEH I,1,Golkar,6,Drs. H. T. ZULKARNAINI AMPON BANG,Male,1964576,1649009,113950,NA,258043,1
1,1,DPR,2024,February,ACEH ,ACEH I,1,Golkar,6,"H. M. SALIM FAKHRY, S.E., M.M.",Male,1964576,1649009,113950,NA,258043,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Golkar,6,H. T. M. NURLIF,Male,1964576,1649009,113950,NA,258043,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Golkar,6,"Hj. SAMSIAR, S.E.",Female,1964576,1649009,113950,NA,258043,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Golkar,6,"NENI RUMIANTI DAULAY, S.E.",Female,1964576,1649009,113950,NA,258043,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Golkar,6,T. M. ALI TAR,Male,1964576,1649009,113950,NA,258043,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Hanura,7,"ADNAN YACOB, S.E.",Male,1964576,1649009,113950,NA,28584,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Hanura,7,"AL AMIN, S.H.",Male,1964576,1649009,113950,NA,28584,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Hanura,7,"Dr. H. ASFIFUDDIN, S.H., M.H.",Male,1964576,1649009,113950,NA,28584,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Hanura,7,FITRIAH ISPANDI,Female,1964576,1649009,113950,NA,28584,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Hanura,7,INTAN KHAIRANI,Female,1964576,1649009,113950,NA,28584,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Hanura,7,"Prof. Dr. BACHTIAR ALY, M.A.",Male,1964576,1649009,113950,NA,28584,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Hanura,7,SRI ARIANA NINGSIH,Female,1964576,1649009,113950,NA,28584,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Nasdem,8,CUT SRI MAINITA,Female,1964576,1649009,113950,NA,158867,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Nasdem,8,"Dr. TEUKU TAUFIQULHADI, M.Si.",Male,1964576,1649009,113950,NA,158867,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Nasdem,8,"Dra. Hj. MEDIATI HAFNI HANUM, S.H., M.Kn., CPM.",Female,1964576,1649009,113950,NA,158867,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Nasdem,8,"H. MUSLIM AYUB, S.H., M.M.",Male,1964576,1649009,113950,NA,158867,1
1,1,DPR,2024,February,ACEH ,ACEH I,1,Nasdem,8,"SUPRIJAL YUSUF, S.H.",Male,1964576,1649009,113950,NA,158867,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Nasdem,8,"T. ISKANDAR DAOD, S.E., M.Si.",Male,1964576,1649009,113950,NA,158867,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Nasdem,8,"TEUNGKU RAZUAN, S.H.",Male,1964576,1649009,113950,NA,158867,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PAN,9,DEWI MARLINA,Female,1964576,1649009,113950,NA,185867,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PAN,9,"GITA ISNA YUNITA, S.E.",Female,1964576,1649009,113950,NA,185867,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PAN,9,H. NAZARUDDIN DEK GAM,Male,1964576,1649009,113950,NA,185867,1
1,1,DPR,2024,February,ACEH ,ACEH I,1,PAN,9,"Ir. Hj. FERRY SORAYA, M.S.I.E.",Female,1964576,1649009,113950,NA,185867,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PAN,9,"MOHD. ALFATAH, S.Ag.",Male,1964576,1649009,113950,NA,185867,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PAN,9,"MUCHLIS ZULKIFLI, S.T., M.H.",Male,1964576,1649009,113950,NA,185867,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PAN,9,ZULFITRI ARIFIN,Male,1964576,1649009,113950,NA,185867,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PBB,10,Dr. TGK. H. MUHAMMAD YUS,Male,1964576,1649009,113950,NA,18056,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PBB,10,"H. ERLI HASIM, S.H., S.Ag., M.I.Kom.",Male,1964576,1649009,113950,NA,18056,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PBB,10,"HAMZAH, S.Sos.I.",Male,1964576,1649009,113950,NA,18056,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PBB,10,"Heri Ramunandar, S.H.",Male,1964576,1649009,113950,NA,18056,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PBB,10,"NURATIAH HANIM, A.Md.Kep.",Female,1964576,1649009,113950,NA,18056,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PBB,10,"SALAMUN, S.E.",Male,1964576,1649009,113950,NA,18056,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PBB,10,"SALAWATI DAHLAN M.S., S.E.",Female,1964576,1649009,113950,NA,18056,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PDIP,11,"H. DAHLAN JAMALUDDIN, S.I.P.",Male,1964576,1649009,113950,NA,133277,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PDIP,11,H. RAMLI MS,Male,1964576,1649009,113950,NA,133277,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PDIP,11,"JAMALUDDIN IDHAM, S.H., M.H.",Male,1964576,1649009,113950,NA,133277,1
1,1,DPR,2024,February,ACEH ,ACEH I,1,PDIP,11,PUSPITA FIRDA OKTYANI,Female,1964576,1649009,113950,NA,133277,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PDIP,11,"RIFKI TAJUDDIN, S.E.",Male,1964576,1649009,113950,NA,133277,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PDIP,11,SOFYAN DAWOOD,Male,1964576,1649009,113950,NA,133277,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PDIP,11,YUNIATI,Female,1964576,1649009,113950,NA,133277,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Perindo,12,AZWAR RAMLI,Male,1964576,1649009,113950,NA,4162,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Perindo,12,DENY ZULFIKAR,Male,1964576,1649009,113950,NA,4162,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Perindo,12,Drs. ABDON SIAGIAN,Male,1964576,1649009,113950,NA,4162,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Perindo,12,DWI AGUS SETIYORINI,Female,1964576,1649009,113950,NA,4162,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Perindo,12,INTAN MONIKA,Female,1964576,1649009,113950,NA,4162,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Perindo,12,"Mayjen. TNI (Purn.) ABDUL HAFIL FUDDIN, S.H., S.I.P., M.H.",Male,1964576,1649009,113950,NA,4162,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Perindo,12,SIWI ASRI MOPRIRATNA,Female,1964576,1649009,113950,NA,4162,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKB,13,drh. HASNIDAR,Female,1964576,1649009,113950,NA,320033,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKB,13,"H. IRMAWAN, S.Sos., M.M.",Male,1964576,1649009,113950,NA,320033,1
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKB,13,M. RAMADHANA RUSLI BINTANG,Male,1964576,1649009,113950,NA,320033,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKB,13,"MAHDALENA, S.Hut.",Female,1964576,1649009,113950,NA,320033,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKB,13,"TEUKU HAMZAH HUSEN, S.E., M.M.",Male,1964576,1649009,113950,NA,320033,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKB,13,"Tgk. H. SYARIFUDDIN, M.A.",Male,1964576,1649009,113950,NA,320033,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKB,13,"Tgk. MUJLISAL, S.Ag.",Male,1964576,1649009,113950,NA,320033,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKN,14,AMRINUR OKTAJAYA,Male,1964576,1649009,113950,NA,1820,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKN,14,Hj. SERI PERAINI,Female,1964576,1649009,113950,NA,1820,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKN,14,NELY INDRAWATI,Female,1964576,1649009,113950,NA,1820,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKN,14,NOLA NOLIA,Female,1964576,1649009,113950,NA,1820,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKN,14,YANTI OCTAVIA,Female,1964576,1649009,113950,NA,1820,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKN,14,"YUDI KURNIA, S.E.",Male,1964576,1649009,113950,NA,1820,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKS,15,BUHARI SELIAN,Male,1964576,1649009,113950,NA,119581,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKS,15,"FRIESKA INDAH SARI, S.E.",Female,1964576,1649009,113950,NA,119581,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKS,15,GHUFRAN,Male,1964576,1649009,113950,NA,119581,1
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKS,15,"Ns. SINTA NELYSA, S.Kep.",Female,1964576,1649009,113950,NA,119581,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKS,15,RAFLY KANDE,Male,1964576,1649009,113950,NA,119581,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKS,15,"SAID MUSTAJAB, S.Sos.",Male,1964576,1649009,113950,NA,119581,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PKS,15,SRI WAHYUNI,Female,1964576,1649009,113950,NA,119581,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PPP,16,AMRI M. ALI,Male,1964576,1649009,113950,NA,137835,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PPP,16,CUT RATNAWATI,Female,1964576,1649009,113950,NA,137835,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PPP,16,"H. ANSARI IDRUS SAMBO, S.H.",Male,1964576,1649009,113950,NA,137835,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PPP,16,HARMANIAR,Female,1964576,1649009,113950,NA,137835,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PPP,16,"HILMAN ISMAIL METAREUM, S.E.",Male,1964576,1649009,113950,NA,137835,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PPP,16,"ILLIZA SA'ADUDDIN DJAMAL, S.E.",Female,1964576,1649009,113950,NA,137835,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PPP,16,SAID SAIFUL AL MAHDALI,Male,1964576,1649009,113950,NA,137835,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PSI,17,"AL-QUDRI, S.T.P.",Male,1964576,1649009,113950,NA,16630,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PSI,17,ARIEF MARTHA RAHADYAN,Male,1964576,1649009,113950,NA,16630,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PSI,17,Ercut Nova Sari,Female,1964576,1649009,113950,NA,16630,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PSI,17,Ismaidi,Male,1964576,1649009,113950,NA,16630,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PSI,17,Qausar Harta Yudana,Male,1964576,1649009,113950,NA,16630,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PSI,17,SLAMET SATYAWATI,Female,1964576,1649009,113950,NA,16630,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,PSI,17,Suci Nur Maizaroh,Female,1964576,1649009,113950,NA,16630,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Ummat,18,CUT EVITA,Female,1964576,1649009,113950,NA,10536,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Ummat,18,Drs. SAIFUDDIN SAMIN,Male,1964576,1649009,113950,NA,10536,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Ummat,18,Drs. USTAZ ARSYAD AHJON,Male,1964576,1649009,113950,NA,10536,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Ummat,18,"EFFRIDANDA M., S.E.",Male,1964576,1649009,113950,NA,10536,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Ummat,18,"FARIDAH, S.E.",Female,1964576,1649009,113950,NA,10536,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Ummat,18,"H. ANAS BIDIN NYAK SYECH, S.Ag.",Male,1964576,1649009,113950,NA,10536,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Ummat,18,"H. JAMAI SUNI, S.E., M.M.",Male,1964576,1649009,113950,NA,10536,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Buruh,1,Abdi Hasan Subari,Male,1777461,1398720,117766,NA,6093,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Buruh,1,Arianingsih,Female,1777461,1398720,117766,NA,6093,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Buruh,1,Drs. Agus Syahputra,Male,1777461,1398720,117766,NA,6093,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Buruh,1,Fitria Ningsih,Female,1777461,1398720,117766,NA,6093,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Buruh,1,Marjuki,Male,1777461,1398720,117766,NA,6093,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Buruh,1,Tukimin,Male,1777461,1398720,117766,NA,6093,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Demokrat,2,"ADE REZA MEUTIA, S.Tr.Keb.",Female,1777461,1398720,117766,NA,93438,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Demokrat,2,CUT YANTI NORA,Female,1777461,1398720,117766,NA,93438,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Demokrat,2,"HAMZAH TUN, S.H.",Male,1777461,1398720,117766,NA,93438,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Demokrat,2,HERIYANSYAH,Male,1777461,1398720,117766,NA,93438,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Demokrat,2,"MUSLIM, S.H.I., M.M.",Male,1777461,1398720,117766,NA,93438,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Demokrat,2,"RIDHWAN ARIFFALAH RUSLI BINTANG, B.Sc., M.A.",Male,1777461,1398720,117766,NA,93438,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Garuda,3,ARI YOGA,Male,1777461,1398720,117766,NA,5340,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Garuda,3,KARYAWATI,Female,1777461,1398720,117766,NA,5340,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Garuda,3,MAULUDDIN,Male,1777461,1398720,117766,NA,5340,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Garuda,3,"MUSTAFA ABDULLAH, S.E.",Male,1777461,1398720,117766,NA,5340,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Garuda,3,"TAMY FATMILA IBRAHIM, S.Sos.I.",Female,1777461,1398720,117766,NA,5340,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Garuda,3,ZIMI ARAMIKO,Male,1777461,1398720,117766,NA,5340,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Gelora,4,EGA SURYANINGSIH,Female,1777461,1398720,117766,NA,8266,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Gelora,4,FAUZI RAMADHAN,Male,1777461,1398720,117766,NA,8266,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Gelora,4,"H. FUADY, S.T., M.Si.",Male,1777461,1398720,117766,NA,8266,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Gelora,4,"SARI DEWI, S.E.",Female,1777461,1398720,117766,NA,8266,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Gelora,4,ZULKIFLI USMAN,Male,1777461,1398720,117766,NA,8266,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Gerindra,5,CUT PUTEH,Female,1777461,1398720,117766,NA,159597,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Gerindra,5,"DEWI KARTIKA, S.H.",Female,1777461,1398720,117766,NA,159597,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Gerindra,5,"FADLI TRI HARTONO, S.Si., M.P.A.",Male,1777461,1398720,117766,NA,159597,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Gerindra,5,"H. FACHRUL RAZI, M.I.P.",Male,1777461,1398720,117766,NA,159597,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Gerindra,5,"Ir. H. T. A. KHALID, M.M.",Male,1777461,1398720,117766,NA,159597,1
1,1,DPR,2024,February,ACEH ,ACEH II,2,Gerindra,5,"T. ZAINAL ABIDIN, S.Pd.I., M.H.",Male,1777461,1398720,117766,NA,159597,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Golkar,6,"CUT RIZKA SEPTIANI, S.I.Kom., M.Si.",Female,1777461,1398720,117766,NA,336170,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Golkar,6,drh. NURAINI MAIDA,Female,1777461,1398720,117766,NA,336170,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Golkar,6,H. ILHAM PANGESTU,Male,1777461,1398720,117766,NA,336170,1
1,1,DPR,2024,February,ACEH ,ACEH II,2,Golkar,6,"H. SAYED FUAD ZAKARIA, S.E.",Male,1777461,1398720,117766,NA,336170,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Golkar,6,MOHD AMIN,Male,1777461,1398720,117766,NA,336170,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Golkar,6,SAMSUL BAHRI TIYONG,Male,1777461,1398720,117766,NA,336170,1
1,1,DPR,2024,February,ACEH ,ACEH II,2,Hanura,7,"CUT MEUTIA, S.H., M.H.",Female,1777461,1398720,117766,NA,25440,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Hanura,7,Ir. H. ZULNAHAR USMAN,Male,1777461,1398720,117766,NA,25440,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Hanura,7,"KHALID SAPUTRA, S.Kom.",Male,1777461,1398720,117766,NA,25440,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Hanura,7,NAZAR,Male,1777461,1398720,117766,NA,25440,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Hanura,7,"NOVI YUNITA, S.E.",Female,1777461,1398720,117766,NA,25440,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Hanura,7,"USMAN ABDULLAH, S.E.",Male,1777461,1398720,117766,NA,25440,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Nasdem,8,"AGUS HIDAYAT THAIB, S.E.",Male,1777461,1398720,117766,NA,169280,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Nasdem,8,Hj. FATIMAH,Female,1777461,1398720,117766,NA,169280,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Nasdem,8,"Hj. ISMANIAR, S.E.",Female,1777461,1398720,117766,NA,169280,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Nasdem,8,"Ir. H. NASARUDDIN, M.M.",Male,1777461,1398720,117766,NA,169280,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Nasdem,8,"IRSAN SOSIAWAN, M.B.A.",Male,1777461,1398720,117766,NA,169280,1
1,1,DPR,2024,February,ACEH ,ACEH II,2,Nasdem,8,"Prof. Dr. Ir. H. ABDULLAH PUTEH, M.Si.",Male,1777461,1398720,117766,NA,169280,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PAN,9,"Dr. H. S MALTHA, S.I.K., S.H., M.Si.",Male,1777461,1398720,117766,NA,82843,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PAN,9,"H. AMINULLAH USMAN, S.E.Ak., M.M.",Male,1777461,1398720,117766,NA,82843,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PAN,9,Ir. H. MAWARDI ALI,Male,1777461,1398720,117766,NA,82843,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PAN,9,Ir. MEUTIA SAFRIDA,Female,1777461,1398720,117766,NA,82843,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PAN,9,NONONG SAKURA,Female,1777461,1398720,117766,NA,82843,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PAN,9,"TEUKU HASBULLAH H.D., S.T.",Male,1777461,1398720,117766,NA,82843,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PBB,10,"MAWARDI, S.Pd.",Male,1777461,1398720,117766,NA,7078,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PBB,10,MUZAKKIR,Male,1777461,1398720,117766,NA,7078,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PBB,10,"Rita Septiana, A.Md.Keb.",Female,1777461,1398720,117766,NA,7078,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PBB,10,Rosda Lyanti,Female,1777461,1398720,117766,NA,7078,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PBB,10,"RUSLI, S.Sos.I.",Male,1777461,1398720,117766,NA,7078,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PBB,10,T. MAHYUDDIN A.R.,Male,1777461,1398720,117766,NA,7078,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PDIP,11,ARWIN MEGA,Male,1777461,1398720,117766,NA,20059,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PDIP,11,DWI AYU MARGASARI,Female,1777461,1398720,117766,NA,20059,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PDIP,11,DWI KRISTINAWATI,Female,1777461,1398720,117766,NA,20059,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PDIP,11,HANAFIAH,Male,1777461,1398720,117766,NA,20059,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PDIP,11,"M. SALADIN AKBAR, S.ST.",Male,1777461,1398720,117766,NA,20059,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,PDIP,11,MAS ADI M,Male,1777461,1398720,117766,NA,20059,0
1,1,DPR,2024,February,ACEH ,ACEH II,2,Perindo,12,"ANDI SYAFRIZAL, S.KH.",Male,1777461,1398720,117766,NA,4187,0
