Year,Province name,Election,Registered voters in district,Valid votes in district,Invalid votes,Candidate Name ,Candidate Number ,Number of Party Votes (for each party),Candidate elected to the DPD,,,,,,
2019,Bali,DPD,,,,"BAGUS MADE WIRAJAYA, S.H.",3,"52,926",,,,,,,
2019,Bali,DPD,,,,H. BAMBANG SANTOSO,4,"126,100",1,,,,,,
2019,Bali,DPD,,,,"DEWA AYU PUTU SRI WIGUNAWATI, S.Sos., S.H., M",5,"80,571",,,,,,,
2019,Bali,DPD,,,,"Drs. DEWA MADE SUAMBA NEGARA, M.Si.",6,"55,525",,,,,,,
2019,Bali,DPD,,,,GEDE LANANG DARMA WIWEKA,7,"77,387",,,,,,,
2019,Bali,DPD,,,,"GEDE NGURAH AMBARA PUTRA, S.H.",8,"120,428",,,,,,,
2019,Bali,DPD,,,,"IDA BAGUS KETUT PURBANEGARA, S.E.",9,"52,667",,,,,,,
2019,Bali,DPD,,,,"Dr.Drs . I GUSTI MADE NGURAH,. M.Si.",10,"11,258",,,,,,,
2019,Bali,DPD,,,,Drs I GUSTI NGURAH HARTA,11,"61,746",,,,,,,
2019,Bali,DPD,,,,I KETUT PUTRA ISMAYA JAYA,12,"40,345",,,,,,,
2019,Bali,DPD,,,,Drs. I KETUT SUWARDANIA,13,"24,270",,,,,,,
2019,Bali,DPD,,,,"Ir. I NENGAH MANUMUDHITA, M.M.",14,"10,127",,,,,,,
2019,Bali,DPD,,,,"I NENGAH WIRATHA, S.E.",15,"108,087",,,,,,,
2019,Bali,DPD,,,,"I NYOMAN SUKRAYASA, S.H.",16,"35,330",,,,,,,
2019,Bali,DPD,,,,"Ir. I WAYAN ADNYANA , S.H., M.Kn",17,"15,008",,,,,,,
2019,Bali,DPD,,,,"Drs. MADE MANGKU PASTIKA, M.M.",18,"269,790",1,,,,,,
2019,Bali,DPD,,,,"NGURAH SUGIARTA,S.H.",19,"10,722",,,,,,,
2019,Bali,DPD,,,,"NI MADE AYU SRIWATHI, S.E., M.M.",20,"17,502",,,,,,,
2019,Bali,DPD,,,,"NI MADE SUASTINI, S.I.Kom",21,"106,002",,,,,,,
2019,Bali,DPD,,,,"Dr. SHRI I.G.N ARYA WEDAKARNA MWS, S.E (M.TRU)., M.Si.",22,"742,781",1,,,,,,
2019,Banten,DPD,"8,112,477","5,204,216","1,548,430",,,,,,,,,,
2019,Banten,DPD,,,,"H. ABAY ZAENUDIN, M.Si.",1,"233,624",,,,,,,
2019,Banten,DPD,,,,H. ABDI SUMAITHI,2,"364,044",1,,,,,,
2019,Banten,DPD,,,,ANDIARA APRILIA HIKMAT,3,"1,187,788",1,,,,,,
2019,Banten,DPD,,,,Hj.  ASIROH,4,"346,977",,,,,,,
2019,Banten,DPD,,,,"H. BUDI HERIYADI. S.E., S.H.",5,"295,434",,,,,,,
2019,Banten,DPD,,,,Hj. CICIH SUTIANINGSIH,6,"105,217",,,,,,,
2019,Banten,DPD,,,,"DANI SAMIUN, S.H",7,"268,488",,,,,,,
2019,Banten,DPD,,,,"ENOH JUNAEDI, S.H.",8,"51,217",,,,,,,
2019,Banten,DPD,,,,Ir. ETEN HILMAN HARTONO,9,"88,306",,,,,,,
2019,Banten,DPD,,,,HABIB ALI ALWI,10,"547,962",1,,,,,,
2019,Banten,DPD,,,,HAWASI SYABRAWI,11,"125,849",,,,,,,
2019,Banten,DPD,,,,HARNIATIE SRI ANA M,12,"82,116",,,,,,,
2019,Banten,DPD,,,,HIKA TRANSISIA AP,13,"42,392",,,,,,,
2019,Banten,DPD,,,,"JUJU SUJANA, S.M.",14,"201,430",,,,,,,
2019,Banten,DPD,,,,"H. TB. M. ALI RIDHO AZHARI, S.H., M.I.Kom",19,"349,450",1,,,,,,
2019,Banten,DPD,,,,M. FADHLIN AKBAR,20,"230,918",,,,,,,
2019,Banten,DPD,,,,MOCHAMMAD FARID DERMAWAN,21,"168,283",,,,,,,
2019,Banten,DPD,,,,MUHAMMAD NAWAWI,22,"85,567",,,,,,,
2019,Banten,DPD,,,,NANA PRAYATNA RAHADIAN,23,"63,522",,,,,,,
2019,Banten,DPD,,,,"REZA IBNU MALIK, S.Sos",24,"54,906",,,,,,,
2019,Banten,DPD,,,,RUKYAT BIN IDRIS,25,"44,850",,,,,,,
2019,Banten,DPD,,,,SOFYAN NURDIN,26,"15,032",,,,,,,
2019,Banten,DPD,,,,H. SUTISNA SUKANDAR M,27,"21,775",,,,,,,
2019,Banten,DPD,,,,Drs. H. TAFTAZANI,28,"29,467",,,,,,,
2019,Banten,DPD,,,,"TB. TENGKU ABDUROHMAN, S.E., M.M",29,"81,977",,,,,,,
2019,Banten,DPD,,,,"TOPARI, S.Sos., M.H.",30,"117,625",,,,,,,
2019,Bengkulu,DPD,"1,399,108","974,339","219,928",,,,,,,,,,
2019,Bengkulu,DPD,,,,"ABDUL KHARIS MA’MUN, S.H.",1,"55,630",,,,,,,
2019,Bengkulu,DPD,,,,ABDUL RAUF TIKA,2,"15,506",,,,,,,
2019,Bengkulu,DPD,,,,"H. AHMAD KANEDI, S.H., M.H.",3,"156,594",1,,,,,,
2019,Bengkulu,DPD,,,,BARLIAN,4,"24,436",,,,,,,
2019,Bengkulu,DPD,,,,"H. ELFI HAMIDY MARAH SUDIN, S.H., M.H.",5,"57,502",,,,,,,
2019,Bengkulu,DPD,,,,"EMILIA PUSPITA, S.H.",6,"53,344",,,,,,,
2019,Bengkulu,DPD,,,,"Dra. ENI KHAIRANI, M.Si.",7,"109,295",1,,,,,,
2019,Bengkulu,DPD,,,,"FATROLAZI, S.E.",8,"80,528",,,,,,,
2019,Bengkulu,DPD,,,,"Dr. Ir. HERMEN MALIK, M.Sc.",9,"106,071",,,,,,,
2019,Bengkulu,DPD,,,,"Hj. RIRI DAMAYANTI JOHN LATIEF, S.Psi.",10,"123,934",1,,,,,,
2019,Bengkulu,DPD,,,,"SULTAN BACTIAR, S.Sos., M.Si.",11,"191,499",1,,,,,,
2019,DI. Yogyakarta,DPD,"2,731,874","2,189,337","225,056",,,,,,,,,,
2019,DI. Yogyakarta,DPD,,,,"Drs. H. A. HAFIDH ASROM, M.M.",1,"163,812",,,,,,,
2019,DI. Yogyakarta,DPD,,,,"ARIF NOOR HARTANTO, S.IP.",2,"88,204",,,,,,,
2019,DI. Yogyakarta,DPD,,,,"BACHRUL ULUM, S.IP.",3,"34,985",,,,,,,
2019,DI. Yogyakarta,DPD,,,,"Dr. Ir. BAMBANG SOEPIJANTO, M.M.",4,"83,221",,,,,,,
2019,DI. Yogyakarta,DPD,,,,"CHANG WENDRYANTO, S.H.",5,"69,683",,,,,,,
2019,DI. Yogyakarta,DPD,,,,"H. CHOLID MAHMUD, M.T.",6,"169,356",1,,,,,,
2019,DI. Yogyakarta,DPD,,,,"Dr. FIDELIS I. DIPONEGORO, S.Si., M.M.",7,"88,042",,,,,,,
2019,DI. Yogyakarta,DPD,,,,GUSTI KANJENG RATU HEMAS,8,"984,234",1,,,,,,
2019,DI. Yogyakarta,DPD,,,,"Dr. H. HILMY MUHAMMAD, M.A.",9,"299,164",1,,,,,,
2019,DI. Yogyakarta,DPD,,,,MUHAMMAD AFNAN HADIKUSUMO,10,"171,611",1,,,,,,
2019,DI. Yogyakarta,DPD,,,,YOHANES WIDI PRAPTOMO,11,"37,025",,,,,,,
2019,DKI Jakarta,DPD,"7,761,598","5,531,630","833,785",,,,,,,,,,
2019,DKI Jakarta,DPD,,,,Dr. ABDUL AZIS,1,"225,004",,,,,,,
2019,DKI Jakarta,DPD,,,,H. AGUS SALIM,2,"214,770",,,,,,,
2019,DKI Jakarta,DPD,,,,"ALWIYAH AHMAD, S.H., M.H.",3,"266,458",,,,,,,
2019,DKI Jakarta ,DPD,,,,ARDINTO DEMIYASA,4,"197,753",,,,,,,
2019,DKI Jakarta,DPD,,,,ARDI PUTRA BARAMULI,5,"250,709",,,,,,,
2019,DKI Jakarta,DPD,,,,"A. SYAMSUL ZAKARIA, S.H., M.H.",6,"157,624",,,,,,,
2019,DKI Jakarta ,DPD,,,,"Dr. H. DAILAMI FIRDAUS, S.H., LL.M.",7,"376,164",,,,,,,
2019,DKI Jakarta ,DPD,,,,ENDANG WIDURI,8,"164,869",,,,,,,
2019,DKI Jakarta ,DPD,,,,"FAHIRA IDRIS, S.E., M.H.",9,"581,108",1,,,,,,
2019,DKI Jakarta,DPD,,,,"FERRY ISWAN, S.H., M.H.",10,"39,649",,,,,,,
2019,DKI Jakarta,DPD,,,,"Hj. H. PATRIKA SUSANA, S.H., M.H.",11,"147,480",,,,,,,
2019,DKI Jakarta,DPD,,,,"Prof. Dr. H. JIMLY ASSHIDDIQIE, S.H.",12,"644,063",1,,,,,,
2019,DKI Jakarta,DPD,,,,H. MOH. RIDWAN SR.,13,"367,187",,,,,,,
2019,DKI Jakarta ,DPD,,,,"Ir. H. M. SALEH KHALID, M.M.",14,"78,810",,,,,,,
2019,DKI Jakarta,DPD,,,,MUHAMMAD TAUFIK,15,"166,405",,,,,,,
2019,DKI Jakarta,DPD,,,,"H. PARDI, S.H.",16,"32,858",,,,,,,
2019,DKI Jakarta,DPD,,,,P.K. TINO RAHARDIAN,17,"39,659",,,,,,,
2019,DKI Jakarta,DPD,,,,RIJAL,18,"87,865",,,,,,,
2019,DKI Jakarta ,DPD,,,,SABAM SIRAIT,19,"626,618",1,,,,,,
2019,DKI Jakarta,DPD,,,,"SLAMET ABADI, CPA.",20,"17,242",,,,,,,
2019,DKI Jakarta,DPD,,,,"Dra. Hj. SOEMIENTARSI MUNTORO, M.Si.",21,"53,132",,,,,,,
2019,DKI Jakarta,DPD,,,,"H. SUDARTO, S.Pd.I., M.M.",22,"24,867",,,,,,,
2019,DKI Jakarta ,DPD,,,,"Drs. SUMARNO, M.Si.",23,"37,522",,,,,,,
2019,DKI Jakarta,DPD,,,,SUSANA SURYANI SARUMAHA,24,"239,921",,,,,,,
2019,DKI Jakarta ,DPD,,,,"Ir. H. SUYARTONO SUWANDI, M.Sc.",25,"38,711",,,,,,,
2019,DKI Jakarta ,DPD,,,,"Prof. Dr. Hj. SYLVIANA MURNI S.H., M.Si.",26,"455,182",1,,,,,,
2019,Jawa Barat ,DPD,"22,786,785","21,556,998","5,848,666",,,,,,,,,,
2019,Jawa Barat ,DPD,,,,"AA ABDUL ROZAK, M.Ag.",1,"807,082",,,,,,,
2019,Jawa Barat ,DPD,,,,AA JAENUDIN,2,"886,313",,,,,,,
2019,Jawa Barat,DPD,,,,"AAN PERMANA, S.H., M.H.",3,"435,370",,,,,,,
2019,Jawa Barat ,DPD,,,,AA ONI SUWARMAN,4,"4,132,681",1,,,,,,
2019,Jawa Barat,DPD,,,,AA USEP EBIT MULYANA,5,"326,519",,,,,,,
2019,Jawa Barat,DPD,,,,"Dr. ABAH RUSKAWAN, M.M.",6,"362,791",,,,,,,
2019,Jawa Barat ,DPD,,,,"Drs. H. ABDUL HADIE, M.M.",7,"508,377",,,,,,,
2019,Jawa Barat ,DPD,,,,Ir. H. ADI GUNAWAN,8,"238,755",,,,,,,
2019,Jawa Barat,DPD,,,,"AGIS MUCHYIDIN, S.T.",9,"395,859",,,,,,,
2019,Jawa Barat ,DPD,,,,"Dr. Ir. AGUS KUSWANTO, M.Si.",10,"201,902",,,,,,,
2019,Jawa Barat,DPD,,,,AHMAD BASHIRUDDIN SYAMSUDDUHA,11,"338,147",,,,,,,
2019,Jawa Barat,DPD,,,,"AJI SAPTAJI S.H.I, M.E.Sy.",12,"208,412",,,,,,,
2019,Jawa Barat ,DPD,,,,"H. ALDWIN RAHADIAN M., S.H., M.AP., CIL.",13,"282,157",,,,,,,
2019,Jawa Barat ,DPD,,,,"K.H. AMANG SYAFRUDIN, Lc.",14,"1,410,880",1,,,,,,
2019,Jawa Barat,DPD,,,,"A MULYANA, S.H., M.Pd., M.H.Kes.",15,"693,710",,,,,,,
2019,Jawa Barat ,DPD,,,,ANDRI PERKASA KANTAPRAWIRA,16,"182,862",,,,,,,
2019,Jawa Barat ,DPD,,,,Drs. H. ARIFIN H KERTASAPUTRA,17,"496,982",,,,,,,
2019,Jawa Barat,DPD,,,,"H. ASEP HIDAYAT, S.Ag.",18,"1,007,653",1,,,,,,
2019,Jawa Barat,DPD,,,,Ust. ASEP SYARIPUDIN,19,"385,102",,,,,,,
2019,Jawa Barat ,DPD,,,,"Drs. H. ASEP SYARIPUDIN, M.Si.",20,"306,103",,,,,,,
2019,Jawa Barat ,DPD,,,,"Ir. H. AYI HAMBALI, M.M.",21,"313,175",,,,,,,
2019,Jawa Barat,DPD,,,,DELFIZAR,22,"65,394",,,,,,,
2019,Jawa Barat ,DPD,,,,DENI AHMAD HAEDARI,23,"236,719",,,,,,,
2019,Jawa Barat,DPD,,,,"DENI SUHERMAN, S.Pd.I., M.Pd.",24,"288,359",,,,,,,
2019,Jawa Barat,DPD,,,,Ir. ELAN HERYANTO H,25,"502,050",,,,,,,
2019,Jawa Barat ,DPD,,,,"Dra. Ir. Hj. ENI SUMARNI, M.Kes.",26,"920,044",1,,,,,,
2019,Jawa Barat ,DPD,,,,"Hj. EUIS MULLY MULYATI SUKARYA, S.Pd.",27,"898,894",,,,,,,
2019,Jawa Barat,DPD,,,,"Drs. IDRIS EPENDI, M.M.",28,"250,309",,,,,,,
2019,Jawa Barat ,DPD,,,,"H. IMAN SETIAWAN, S.H.",29,"353,851",,,,,,,
2019,Jawa Barat ,DPD,,,,"IWAN KUSMAWAN, S.H.",30,"129,584",,,,,,,
2019,Jawa Barat,DPD,,,,MAULIDAN ISBAR,31,"107,633",,,,,,,
2019,Jawa Barat,DPD,,,,"MOHAMMAD TEGUH HARDITYA, S.E.",32,"19,052",,,,,,,
2019,Jawa Barat ,DPD,,,,H. MUGI SUJANA,33,"47,830",,,,,,,
2019,Jawa Barat ,DPD,,,,Ir. MUHAMAD SIDARTA,34,"84,649",,,,,,,
2019,Jawa Barat,DPD,,,,"Dr. OKTRI MOHAMMAD FIRDAUS, S.T., M.T., IPM.",35,"260,944",,,,,,,
2019,Jawa Barat ,DPD,,,,"Hj. RINI SUJIYANTI, S.E., M.M.",36,"599,017",,,,,,,
2019,Jawa Barat,DPD,,,,"Dr. H. RM. IMAM I. TUNGGARA, M.Pd.",37,"211,058",,,,,,,
2019,Jawa Barat,DPD,,,,ROBBY MAULANA ZULKARNAEN,38,"93,726",,,,,,,
2019,Jawa Barat ,DPD,,,,"SAPEI, S.T.",39,"152,499",,,,,,,
2019,Jawa Barat ,DPD,,,,"Mayjen TNI (Purn) Dr. Ir. H. SUHARNO, M.M.",40,"152,217",,,,,,,
2019,Jawa Barat,DPD,,,,Ir. SUWIDI TONO,41,"89,829",,,,,,,
2019,Jawa Barat ,DPD,,,,SYIFA HANANTA,42,"311,102",,,,,,,
2019,Jawa Barat ,DPD,,,,"Dr. H. TATANG FARHANUL HAKIM, M.Pd.",43,"371,336",,,,,,,
2019,Jawa Barat,DPD,,,,Drs. Tb. ANIS ANGKAWIJAYA,44,"70,991",,,,,,,
2019,Jawa Barat,DPD,,,,"TIA MUTHIAH UMAR, S.Sos., M.Si.",45,"568,824",,,,,,,
2019,Jawa Barat ,DPD,,,,"UDI, S.Ag.",46,"29,412",,,,,,,
2019,Jawa Barat ,DPD,,,,Drs. K.H. YAYAN HASUNA HUDAYA,47,"432,770",,,,,,,
2019,Jawa Barat,DPD,,,,"H. YUSYUS KUSWANDANA, S.H., M.Si.",48,"56,122",,,,,,,
2019,Jawa Barat ,DPD,,,,"Dr. H. ZULKARNAEN, S.H., M.H.",49,"123,575",,,,,,,
2019,Jawa Barat ,DPD,,,,"H. HERI PURNAMA, M.Pd.I",50,"208,376",,,,,,,
2019,Jawa Tengah ,DPD,"13,677,715","16,419,199","5,924,935",,,,,,,,,,
2019,Jawa Tengah ,DPD,,,,"ABDUL KHOLIK, SH., M.Si.",1,"1,420,065",1,,,,,,
2019,Jawa Tengah ,DPD,,,,AGUS MUJAYANTO,2,"404,107",,,,,,,
2019,Jawa Tengah ,DPD,,,,"Dr. H. BAMBANG SADONO, SH., MH.",3,"1,254,802",,,,,,,
2019,Jawa Tengah,DPD,,,,"Ir. H. BAMBANG SUTRISNO, MM.",4,"1,631,351",1,,,,,,
2019,Jawa Tengah,DPD,,,,"BUDI YUWONO, SH.",5,"668,816",,,,,,,
2019,Jawa Tengah ,DPD,,,,"CASYTHA A. KATHMANDU, SE.",6,"2,080,525",1,,,,,,
2019,Jawa Tengah ,DPD,,,,"Dr. H. DARWITO, SE., MM.",7,"1,015,420",,,,,,,
2019,Jawa Tengah ,DPD,,,,"DENTY EKA WIDI PRATIWI, SE., MH.",8,"2,347,604",1,,,,,,
2019,Jawa Tengah,DPD,,,,G.K.R. AYU KOES INDRIYAH,9,"1,041,035",,,,,,,
2019,Jawa Tengah,DPD,,,,"ISNAN AHMAD JUHARDANI, S.P.",10,"312,392",,,,,,,
2019,Jawa Tengah ,DPD,,,,"Drs. H. JAMUN, M.Pd.I",11,"677,045",,,,,,,
2019,Jawa Tengah ,DPD,,,,"Drs. JOKO J. PRIHATMOKO, M.Si.",12,"114,492",,,,,,,
2019,Jawa Tengah ,DPD,,,,"KHOLISON, SH.",13,"314,054",,,,,,,
2019,Jawa Tengah,DPD,,,,Drs. M. ABDUL ROHIM,14,"605,024",,,,,,,
2019,Jawa Tengah,DPD,,,,"H. MUH MAHSUN, S.IP.",15,"249,771",,,,,,,
2019,Jawa Tengah,DPD,,,,"Drs. H. MUHTAR LUTFI, MM",16,"261,371",,,,,,,
2019,Jawa Tengah ,DPD,,,,"MUJIBURROHMAN, S.S.",17,"876,820",,,,,,,
2019,Jawa Tengah,DPD,,,,"Dr. KH. MUQODDAM CHOLIL, MA.",18,"410,529",,,,,,,
2019,Jawa Tengah,DPD,,,,"H. NAIBUL UMAM EKO SAKTI, S.Ag., M.Si.",19,"418,734",,,,,,,
2019,Jawa Tengah,DPD,,,,"SOLEHIN, S.Pd, MM.",20,"315,242",,,,,,,
2019,Jawa Timur,DPD,"15,394,407","19,030,033","6,426,310",,,,,,,,,,
2019,Jawa Timur,DPD,,,,A. AGUS PATMINTO,1,"999,208",,,,,,,
2019,Jawa Timur,DPD,,,,Ir. H. AA LA NYALLA MAHMUD MATTALITTI,2,"2,267,058",1,,,,,,
2019,Jawa Timur,DPD,,,,"ABDUL QADIR AMIR HARTONO, S.E., S.H., M.H",3,"1,103,765",,,,,,,
2019,Jawa Timur,DPD,,,,"ACHMAD NURUL ILMI, S.H",4,"1,018,303",,,,,,,
2019,Jawa Timur,DPD,,,,"ACHMAD RUSYAD MANFALUTI, S.Ag., M.Si",5,"376,024",,,,,,,
2019,Jawa Timur,DPD,,,,ADILLA AZIS,6,"1,322,755",1,,,,,,
2019,Jawa Timur,DPD,,,,"H. AHMAD NAWARDI, S.Ag",7,"1,414,478",1,,,,,,
2019,Jawa Timur,DPD,,,,"Ir. H. ALFA ISNAENI, M.Si",8,"768,671",,,,,,,
2019,Jawa Timur,DPD,,,,"ANDI YUWONO, S.Sos., M.Si",9,"243,264",,,,,,,
2019,Jawa Timur,DPD,,,,"A SYAIFUL ISMAIL, S.H., M.H",10,"1,204,544",,,,,,,
2019,Jawa Timur,DPD,,,,ENRICO WHENRY RIZKY TAMBUNAN,11,"623,845",,,,,,,
2019,Jawa Timur,DPD,,,,EVI ZAINAL ABIDIN,12,"2,416,663",1,,,,,,
2019,Jawa Timur,DPD,,,,"FAIROUZ HUDA, S.Sos",13,"123,924",,,,,,,
2019,Jawa Timur,DPD,,,,"FATIHUL FAIZUN, S.Sos",14,"204,902",,,,,,,
2019,Jawa Timur,DPD,,,,"Dra. Hj. HARBIAH SALAHUDDIN, M.Si",15,"830,695",,,,,,,
2019,Jawa Timur,DPD,,,,"IMAM KHODRI TF, S.S., M.Th.I",16,"323,266",,,,,,,
2019,Jawa Timur,DPD,,,,"MASHUDI, S.T.P",17,"230,306",,,,,,,
2019,Jawa Timur,DPD,,,,"MISBAHUL MUNIR, M.Ag",18,"441,777",,,,,,,
2019,Jawa Timur,DPD,,,,"MOHAMMAD TRIJANTO, S.H",19,"244,039",,,,,,,
2019,Jawa Timur,DPD,,,,"MUHAMAD KODERI HW, M.T",20,"227,265",,,,,,,
2019,Jawa Timur,DPD,,,,"H. NADJIB HAMID, M.Si",21,"1,007,775",,,,,,,
2019,Jawa Timur,DPD,,,,H. PUDJO BASUKI,22,"171,177",,,,,,,
2019,Jawa Timur,DPD,,,,PURWO ALI,23,"74,355",,,,,,,
2019,Jawa Timur,DPD,,,,"Dr. H. RPA. MUJAHID ANSORI, M.Si",24,"383,244",,,,,,,
2019,Jawa Timur,DPD,,,,"H. SONHADJI ZAINUDIN, S.E., M.M",25,"105,340",,,,,,,
2019,Jawa Timur,DPD,,,,Ir.H. SUHANDOYO SP,26,"559,451",,,,,,,
2019,Jawa Timur,DPD,,,,"H. SUPRIASTO, S.H., M.H",27,"174,060",,,,,,,
2019,Jawa Timur,DPD,,,,ZAIFUL ANAM,28,"169,879",,,,,,,
2019,Nusa Tenggara Barat,DPD,"3,667,253","2,537,688","498,703",,,,,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"Ir. H. ACHMAD SUKISMAN AZMY, M.Hum",1,"268,905",1,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"H. ARSYAD, S.E., MM",2,"113,069",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"Drs. AYIP ROSIDI,MM",3,"25,413",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"BAIQ DIYAH RATU GANEFI, SH",4,"126,811",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,ELY SOLIHIN. S.Kep,5,"103,618",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"EVI APITA MAYA, SH., M.Kn",6,"283,932",1,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,Prof. Dr. FAROUK MUHAMMAD,7,"188,687",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"HAIFA AKBAR, SS",8,"41,080",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"TGH. IBNU HALIL., S.Ag., M.Pd.i",9,"245,570",1,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"H. IRZANI,S.Pd., M.Si",10,"173,769",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"Drs. KURNIAWAN ARMIN, MM",11,"15,977",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"LALU DIDIT PATRIA A.O.C, SH",12,"29,985",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"H. LALU GEDE SYAMSUL MUHAJIDIN, SE",13,"155,363",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,H. LALU MUHAMMAD SUKRIADI,14,"38,856",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,H. LALU SUHAIMI ISMY,15,"207,352",1,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"Drs. H.M. ALI. H. ARAHIM, M.Pd",16,"141,008",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,Drs. H. MARINAH HARDI,17,"34,805",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"MARWAN HAKIM, S.Kom., M.Kom., MM",18,"27,236",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,Ir. MOH. KISMAN PANGERAN,19,"18,778",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"Ir. H. MUDAHAN HADZIE, M.Si",20,"23,061",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"Dra. Hj. NURJANAH, SH",21,"23,920",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"RIMA NOFIYANTI, S.Pi",22,"23,627",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"Hj. ROBIATUL ADAWIYAH, SE",23,"114,534",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"SIGAP, S.Pd., M.Pd",24,"25,564",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,"H. SUNARDI AYUB, SH",25,"28,167",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,TAUFIK LA TOFI,26,"41,984",,,,,,,
2019,Nusa Tenggara Barat,DPD,,,,YUSRIN FALAHI HAIKAL,27,"16,617",,,,,,,
2019,Nusa Tenggara Timur,DPD,"2,389,038","2,541,067","174,029",,,,,,,,,,
2019,Nusa Tenggara Timur,DPD,,,,"ABDULLAH P. ULUMANDO, SE.",1,"107,248",,,,,,,
2019,Nusa Tenggara Timur,DPD,,,,"ABRAHAM LIYANTO, IR",2,"173,915",1,,,,,,
2019,Nusa Tenggara Timur,DPD,,,,"AGUSTINUS LESEK, S.FIL.",3,"69,937",,,,,,,
2019,Nusa Tenggara Timur,DPD,,,,"ALEKSIUS ARMANJAYA, S.S., M.H.",4,"64,556",,,,,,,
