PDS,VN,ID,YR,MN,PROV,CAN,CAN_G,RV,VV,IVV,CV,SEATS
1,1,DPD,2014,April,BANTEN,"H. Ahmad Imron, S.E. ",Male,5717047,4157163,1559884,202832,0
1,1,DPD,2014,April,BANTEN,"K.H. Ahmad Sadeli Karim, L.C. ",Male,5717047,4157163,1559884,434799,1
1,1,DPD,2014,April,BANTEN,H. Ahmad Subadri ,Male,5717047,4157163,1559884,461496,1
1,1,DPD,2014,April,BANTEN,Drs. H. Akhmad Haris ,Male,5717047,4157163,1559884,106571,0
1,1,DPD,2014,April,BANTEN,Andiara Aprilia Hikmat,Female,5717047,4157163,1559884,904421,1
1,1,DPD,2014,April,BANTEN,"Dr. Andriansyah, M.Si.",Male,5717047,4157163,1559884,18277,0
1,1,DPD,2014,April,BANTEN,"Dr. Gidion S. Hutagalung, S.H., S.Th., M.A. ",Male,5717047,4157163,1559884,110536,0
1,1,DPD,2014,April,BANTEN,"H. Gondo Radityo Gambiro, M.B.A. ",Male,5717047,4157163,1559884,75209,0
1,1,DPD,2014,April,BANTEN,"Gousta Feriza, S.H., M.H. ",Male,5717047,4157163,1559884,108712,0
1,1,DPD,2014,April,BANTEN,Drs. Habib Ali Alwi ,Male,5717047,4157163,1559884,396933,1
1,1,DPD,2014,April,BANTEN,"Hj. Hanif Sobari, M.Si",Male,5717047,4157163,1559884,50954,0
1,1,DPD,2014,April,BANTEN,"Hasan  Nuryadi, S.E., M.Ec. ",Male,5717047,4157163,1559884,30052,0
1,1,DPD,2014,April,BANTEN,"Hj. Himmatul Aliyah, S.Sos., M.Si. ",Male,5717047,4157163,1559884,208296,0
1,1,DPD,2014,April,BANTEN,Iwan Kurniawan ,Male,5717047,4157163,1559884,3134,0
1,1,DPD,2014,April,BANTEN,"H. Iyus Priatna, S.Sos. ",Male,5717047,4157163,1559884,43935,0
1,1,DPD,2014,April,BANTEN,"H. M. Irsjad Djuwaeli, S.P., M.M. ",Male,5717047,4157163,1559884,117459,0
1,1,DPD,2014,April,BANTEN,M. Nurdin R,Male,5717047,4157163,1559884,37827,0
1,1,DPD,2014,April,BANTEN,"Moh. Jembar, M.Si. ",Male,5717047,4157163,1559884,30745,0
1,1,DPD,2014,April,BANTEN,H. Mushin ,Male,5717047,4157163,1559884,28488,0
1,1,DPD,2014,April,BANTEN,H. Muhtar Imi ,Male,5717047,4157163,1559884,33168,0
1,1,DPD,2014,April,BANTEN,"H. Odjat Sukardjat, S.H.I., M.B.A. ",Male,5717047,4157163,1559884,68632,0
1,1,DPD,2014,April,BANTEN,"H. Rosyid Haerudi, S.P., M.M. ",Male,5717047,4157163,1559884,60899,0
1,1,DPD,2014,April,BANTEN,H. Tb. Lucky Kaking,Male,5717047,4157163,1559884,61533,0
1,1,DPD,2014,April,BANTEN,"Ir. Togu Pardamean Tobing, M.Si. ",Male,5717047,4157163,1559884,107953,0
1,1,DPD,2019,February,BENGKULU,"ABDUL KHARIS MA’MUN, S.H.",Male,1399108,974339,219928,5563,0
1,1,DPD,2019,February,BENGKULU,ABDUL RAUF TIKA,Male,1399108,974339,219928,15506,0
1,1,DPD,2019,February,BENGKULU,"H. AHMAD KANEDI, S.H., M.H.",Male,1399108,974339,219928,156594,1
1,1,DPD,2019,February,BENGKULU,BARLIAN,Male,1399108,974339,219928,24436,0
1,1,DPD,2019,February,BENGKULU,"H. ELFI HAMIDY MARAH SUDIN, S.H., M.H.",Male,1399108,974339,219928,57502,0
1,1,DPD,2019,February,BENGKULU,"EMILIA PUSPITA, S.H.",Female,1399108,974339,219928,53344,0
1,1,DPD,2019,February,BENGKULU,"Dra. ENI KHAIRANI, M.Si.",Female,1399108,974339,219928,109295,1
1,1,DPD,2019,February,BENGKULU,"FATROLAZI, S.E.",Male,1399108,974339,219928,80528,0
1,1,DPD,2019,February,BENGKULU,"Dr. Ir. HERMEN MALIK, M.Sc.",Male,1399108,974339,219928,106071,0
1,1,DPD,2019,February,BENGKULU,"Hj. RIRI DAMAYANTI JOHN LATIEF, S.Psi.",Female,1399108,974339,219928,123934,1
1,1,DPD,2019,February,BENGKULU,"SULTAN BACTIAR, S.Sos., M.Si.",Male,1399108,974339,219928,191499,1
1,1,DPD,2014,April,BENGKULU,"Ir. Ahmad Hamim Wicaksono, M.Sc. ",Male,1106369,895608,210761,38912,0
1,1,DPD,2014,April,BENGKULU,"H. Ahmad Kanedi, S.H., M.H. ",Male,1106369,895608,210761,150074,1
1,1,DPD,2014,April,BENGKULU,Ir. Babulhairien A.B ,Male,1106369,895608,210761,2612,0
1,1,DPD,2014,April,BENGKULU,Dipi-ing. H. Bambang Soeroso,Male,1106369,895608,210761,63561,0
1,1,DPD,2014,April,BENGKULU,"Cupli Risman, S.Sos",Male,1106369,895608,210761,23938,0
1,1,DPD,2014,April,BENGKULU,"Dinmar, S.Kom. ",Male,1106369,895608,210761,6446,0
1,1,DPD,2014,April,BENGKULU,Djatmiko ,Male,1106369,895608,210761,16968,0
1,1,DPD,2014,April,BENGKULU,"Dra. Hj. Eni Khairani, M.Si. ",Female,1106369,895608,210761,108521,1
1,1,DPD,2014,April,BENGKULU,Eri Yanto ,Male,1106369,895608,210761,19364,0
1,1,DPD,2014,April,BENGKULU,"Iqbal Bastari, S.Pd. ",Male,1106369,895608,210761,42904,0
1,1,DPD,2014,April,BENGKULU,"H. Mohammad Saleh, S.E. ",Male,1106369,895608,210761,74275,1
1,1,DPD,2014,April,BENGKULU,Muhammad Kosim,Male,1106369,895608,210761,18666,0
1,1,DPD,2014,April,BENGKULU,"Muspani, S.H. ",Male,1106369,895608,210761,37319,0
1,1,DPD,2014,April,BENGKULU,"Radianto Star, S.T. ",Male,1106369,895608,210761,5676,0
1,1,DPD,2014,April,BENGKULU,"Dr. Rahimullah, S.H., M.Si. ",Male,1106369,895608,210761,18919,0
1,1,DPD,2014,April,BENGKULU,Riri Damayanti ,Female,1106369,895608,210761,87541,1
1,1,DPD,2014,April,BENGKULU,"Dr. Ir. H. Ruslan Wijaya, S.E., M.A.P. ",Male,1106369,895608,210761,3096,0
1,1,DPD,2014,April,BENGKULU,"Drs. H. Salamun Haris M, M.Si ",Male,1106369,895608,210761,29479,0
1,1,DPD,2014,April,BENGKULU,H. Syaiful Anwar Bachsin ,Male,1106369,895608,210761,3508,0
1,1,DPD,2014,April,BENGKULU,"Yuan Rasugi Sang, S.Sos., M.H. ",Male,1106369,895608,210761,34443,0
1,1,DPD,2019,February,DAERAH ISTIMEWA YOGYAKARTA,"Drs. H. A. HAFIDH ASROM, M.M.",Male,2731874,2189337,225056,163812,0
1,1,DPD,2019,February,DAERAH ISTIMEWA YOGYAKARTA,"ARIF NOOR HARTANTO, S.IP.",Male,2731874,2189337,225056,88204,0
1,1,DPD,2019,February,DAERAH ISTIMEWA YOGYAKARTA,"BACHRUL ULUM, S.IP.",Male,2731874,2189337,225056,34985,0
1,1,DPD,2019,February,DAERAH ISTIMEWA YOGYAKARTA,"Dr. Ir. BAMBANG SOEPIJANTO, M.M.",Male,2731874,2189337,225056,83221,0
1,1,DPD,2019,February,DAERAH ISTIMEWA YOGYAKARTA,"CHANG WENDRYANTO, S.H.",Male,2731874,2189337,225056,69683,0
1,1,DPD,2019,February,DAERAH ISTIMEWA YOGYAKARTA,"H. CHOLID MAHMUD, M.T.",Male,2731874,2189337,225056,169356,1
1,1,DPD,2019,February,DAERAH ISTIMEWA YOGYAKARTA,"Dr. FIDELIS I. DIPONEGORO, S.Si., M.M.",Male,2731874,2189337,225056,88042,0
1,1,DPD,2019,February,DAERAH ISTIMEWA YOGYAKARTA,GUSTI KANJENG RATU HEMAS,Female,2731874,2189337,225056,984234,1
1,1,DPD,2019,February,DAERAH ISTIMEWA YOGYAKARTA,"Dr. H. HILMY MUHAMMAD, M.A.",Male,2731874,2189337,225056,299164,1
1,1,DPD,2019,February,DAERAH ISTIMEWA YOGYAKARTA,MUHAMMAD AFNAN HADIKUSUMO,Male,2731874,2189337,225056,171611,1
1,1,DPD,2019,February,DAERAH ISTIMEWA YOGYAKARTA,YOHANES WIDI PRAPTOMO,Male,2731874,2189337,225056,37025,0
1,1,DPD,2014,April,DAERAH ISTIMEWA YOGYAKARTA,"Drs. H. A. Hafidh Asrom, M.M. ",Male,2218568,2011482,207086,158794,1
1,1,DPD,2014,April,DAERAH ISTIMEWA YOGYAKARTA,"H. A. Taufiqurrohman, S.Ag. ",Male,2218568,2011482,207086,53714,0
1,1,DPD,2014,April,DAERAH ISTIMEWA YOGYAKARTA,H. Abdul Muhaimin,Male,2218568,2011482,207086,48885,0
1,1,DPD,2014,April,DAERAH ISTIMEWA YOGYAKARTA,"Bambang Eko Prabowo, B.Sc., S.I.P. ",Male,2218568,2011482,207086,92867,0
1,1,DPD,2014,April,DAERAH ISTIMEWA YOGYAKARTA,"Ir. H. Cholid Mahmud, M.T. ",Male,2218568,2011482,207086,149824,1
1,1,DPD,2014,April,DAERAH ISTIMEWA YOGYAKARTA,H. Fairuz Ahmad,Male,2218568,2011482,207086,60842,0
1,1,DPD,2014,April,DAERAH ISTIMEWA YOGYAKARTA,"R. Fidelis Indriarto, S.SI., M.M. ",Male,2218568,2011482,207086,77065,0
1,1,DPD,2014,April,DAERAH ISTIMEWA YOGYAKARTA,Gusti Kanjeng Ratu Hemas ,Female,2218568,2011482,207086,1017687,1
1,1,DPD,2014,April,DAERAH ISTIMEWA YOGYAKARTA,"Ismarindayani, S.H., M.H., CN. ",Female,2218568,2011482,207086,89009,0
1,1,DPD,2014,April,DAERAH ISTIMEWA YOGYAKARTA,"Kombes. Pol (Purn). Muhammad Hirsam, S.H., M.Si. ",Male,2218568,2011482,207086,21274,0
1,1,DPD,2014,April,DAERAH ISTIMEWA YOGYAKARTA,Muhammad Afnan Hadikusumo,Male,2218568,2011482,207086,14482,1
1,1,DPD,2014,April,DAERAH ISTIMEWA YOGYAKARTA,"Drs. Sidarto Danusubroto, S.H. ",Male,2218568,2011482,207086,79845,0
1,1,DPD,2014,April,DAERAH ISTIMEWA YOGYAKARTA,"H. Suratman, S.H., M.H. ",Male,2218568,2011482,207086,16856,0
